time,covered,cov-ratio
0.10,47,4.23%
7.25,48,4.32%
14.59,49,4.41%
142.15,52,4.68%
180.33,56,5.04%
220.56,58,5.22%
257.49,62,5.58%
365.22,66,5.94%
591.45,107,9.63%
645.04,118,10.62%
778.37,119,10.71%
785.59,120,10.80%
795.64,173,15.57%
838.43,174,15.66%
928.74,176,15.84%
1011.83,191,17.19%
1012.06,192,17.28%
1012.56,194,17.46%
1012.88,245,22.05%
1014.16,246,22.14%
1015.69,286,25.74%
1017.40,291,26.19%
1019.76,294,26.46%
1024.52,295,26.55%
1044.20,296,26.64%
1044.51,297,26.73%
1481.37,307,27.63%
1483.02,312,28.08%
1489.96,314,28.26%
1490.29,340,30.60%
1499.49,341,30.69%
1501.23,342,30.78%
1515.97,345,31.05%
1615.53,347,31.23%
1680.40,348,31.32%
2061.20,349,31.41%
2068.80,351,31.59%
2109.35,354,31.86%
