time,covered,cov-ratio
0.10,47,4.23%
11.95,48,4.32%
35.65,50,4.50%
500.88,53,4.77%
564.87,56,5.04%
602.43,60,5.40%
727.30,61,5.49%
732.94,64,5.76%
941.77,66,5.94%
1124.55,67,6.03%
1199.13,68,6.12%
1871.13,107,9.63%
1997.78,158,14.22%
2012.45,166,14.94%
2022.92,169,15.21%
2130.61,170,15.30%
2147.86,171,15.39%
2197.14,172,15.48%
2242.70,182,16.38%
2324.94,184,16.56%
2337.55,185,16.65%
2423.33,237,21.33%
2479.76,238,21.42%
2891.94,270,24.30%
2898.00,277,24.93%
2902.88,284,25.56%
2909.17,285,25.65%
3280.96,300,27.00%
3608.22,305,27.45%
3691.41,312,28.08%
4014.46,313,28.17%
4074.27,314,28.26%
4144.78,317,28.53%
5096.69,319,28.71%
5198.63,327,29.43%
5393.94,328,29.52%
5596.27,347,31.23%
5612.23,378,34.02%
5880.58,380,34.20%
6406.58,382,34.38%
6521.64,383,34.47%
6683.88,384,34.56%
6704.65,387,34.83%
6759.37,390,35.10%
6945.62,393,35.37%
7150.97,397,35.73%
7185.05,401,36.09%
7680.12,405,36.45%
8110.64,410,36.90%
8112.14,417,37.53%
8113.14,418,37.62%
8118.83,419,37.71%
8118.98,425,38.25%
8205.03,429,38.61%
8209.93,430,38.70%
8249.58,435,39.15%
9178.66,440,39.60%
9259.28,441,39.69%
10086.33,443,39.87%
10675.79,448,40.32%
10764.05,449,40.41%
10965.58,450,40.50%
13325.36,451,40.59%
13328.97,452,40.68%
13857.13,453,40.77%
15347.58,454,40.86%
15605.69,481,43.29%
15647.34,483,43.47%
15699.79,484,43.56%
15700.04,485,43.65%
15700.90,489,44.01%
15708.47,493,44.37%
15786.20,498,44.82%
15798.17,510,45.90%
15873.62,512,46.08%
16002.00,519,46.71%
16486.00,520,46.80%
17921.56,522,46.98%
18166.51,523,47.07%
18616.50,524,47.16%
19612.77,525,47.25%
19882.79,526,47.34%
19942.26,528,47.52%
20518.18,529,47.61%
21915.98,530,47.70%
21953.41,531,47.79%
22716.20,532,47.88%
22894.57,533,47.97%
23507.52,534,48.06%
122430.08,535,48.15%
