time,covered,cov-ratio
0.10,47,4.23%
73.55,48,4.32%
90.05,49,4.41%
145.23,50,4.50%
214.02,55,4.95%
523.73,58,5.22%
524.37,61,5.49%
526.17,62,5.58%
670.07,63,5.67%
960.23,100,9.00%
1032.13,107,9.63%
1196.99,108,9.72%
1427.78,110,9.90%
1480.83,111,9.99%
1486.68,113,10.17%
1506.77,163,14.67%
1627.65,172,15.48%
1659.14,176,15.84%
1711.02,231,20.79%
2083.78,233,20.97%
2173.54,243,21.87%
2174.14,254,22.86%
2191.11,255,22.95%
2313.51,256,23.04%
2572.38,257,23.13%
2661.32,265,23.85%
2668.11,266,23.94%
2728.76,275,24.75%
2798.98,276,24.84%
2825.81,278,25.02%
2835.85,284,25.56%
2960.05,285,25.65%
2981.57,286,25.74%
3042.93,291,26.19%
3276.40,307,27.63%
5274.08,309,27.81%
5287.00,321,28.89%
5289.61,336,30.24%
5299.37,342,30.78%
5359.09,348,31.32%
5397.46,363,32.67%
5537.58,365,32.85%
5538.40,387,34.83%
5769.03,388,34.92%
5803.41,389,35.01%
5876.24,390,35.10%
5966.10,391,35.19%
5995.92,394,35.46%
6012.28,396,35.64%
6038.42,399,35.91%
6068.68,401,36.09%
6168.66,402,36.18%
6933.18,403,36.27%
7150.54,418,37.62%
7595.41,423,38.07%
7804.34,424,38.16%
9021.39,426,38.34%
9192.60,427,38.43%
10503.50,429,38.61%
10552.08,430,38.70%
10627.65,436,39.24%
12080.08,437,39.33%
12648.08,438,39.42%
14741.63,440,39.60%
14742.97,441,39.69%
14792.34,442,39.78%
14862.12,449,40.41%
14948.38,469,42.21%
14996.10,480,43.20%
15029.12,484,43.56%
15176.57,495,44.55%
15517.55,496,44.64%
15519.57,503,45.27%
15523.72,506,45.54%
15525.34,507,45.63%
15531.98,509,45.81%
15537.26,511,45.99%
15563.85,516,46.44%
15578.59,517,46.53%
15800.22,518,46.62%
15804.68,519,46.71%
16471.84,523,47.07%
16978.60,524,47.16%
18156.37,525,47.25%
20160.86,528,47.52%
20306.73,529,47.61%
22667.03,531,47.79%
22916.69,532,47.88%
23210.11,533,47.97%
23403.48,534,48.06%
27891.45,535,48.15%
87151.18,545,49.05%
