time,covered,cov-ratio
0.10,43,3.87%
52.90,44,3.96%
415.91,45,4.05%
440.00,48,4.32%
528.10,49,4.41%
591.99,51,4.59%
857.98,93,8.37%
1161.88,103,9.27%
1510.91,104,9.36%
1511.63,144,12.96%
1514.19,148,13.32%
1531.44,149,13.41%
1560.61,168,15.12%
1591.08,176,15.84%
1604.00,177,15.93%
1658.60,185,16.65%
1815.51,191,17.19%
1932.15,193,17.37%
1939.18,194,17.46%
1993.57,198,17.82%
2026.12,234,21.06%
2041.35,241,21.69%
2154.65,258,23.22%
2159.62,260,23.40%
2279.04,265,23.85%
2518.89,270,24.30%
2722.24,271,24.39%
2789.23,273,24.57%
2821.97,275,24.75%
2862.11,276,24.84%
2880.35,277,24.93%
3001.02,311,27.99%
3132.94,312,28.08%
3143.43,329,29.61%
3189.69,330,29.70%
3219.10,332,29.88%
3259.24,334,30.06%
3411.54,339,30.51%
3466.71,340,30.60%
3559.92,341,30.69%
3666.18,342,30.78%
3689.33,344,30.96%
3976.41,345,31.05%
4015.66,352,31.68%
4210.79,353,31.77%
4395.91,377,33.93%
4481.95,378,34.02%
4727.57,379,34.11%
4841.47,388,34.92%
5287.49,389,35.01%
5483.80,391,35.19%
5667.87,392,35.28%
6115.27,393,35.37%
6333.79,398,35.82%
6402.88,405,36.45%
6433.73,406,36.54%
6603.40,410,36.90%
6689.64,413,37.17%
6717.04,423,38.07%
7440.28,424,38.16%
7469.68,425,38.25%
7478.90,426,38.34%
7825.52,427,38.43%
8510.43,428,38.52%
9882.35,429,38.61%
10049.40,432,38.88%
10278.53,434,39.06%
10721.73,439,39.51%
11002.45,442,39.78%
11620.87,444,39.96%
15482.10,445,40.05%
21664.97,446,40.14%
23881.82,447,40.23%
30425.85,448,40.32%
32496.05,449,40.41%
34466.67,451,40.59%
51723.26,452,40.68%
